---------自定义输出单词数输出--------------
单词数为2的单词如下：
单词组为:Singapore Singapore	频数是：6
单词组为:favorite just	频数是：4
单词组为:just only	频数是：4
单词组为:most favorite	频数是：4
单词组为:only most	频数是：3
单词组为:well known	频数是：2
单词组为:years years	频数是：2
单词组为:Acid Research	频数是：1
单词组为:Australia other	频数是：1
单词组为:bachelor master	频数是：1
单词组为:books published	频数是：1
单词组为:born Langfang	频数是：1
单词组为:CFLACPC Yanzhao	频数是：1
单词组为:Chemical Industry	频数是：1
单词组为:China Digest	频数是：1
单词组为:China Press	频数是：1
单词组为:countries Singapore	频数是：1
单词组为:Daily China	频数是：1
单词组为:degrees with	频数是：1
单词组为:Digest some	频数是：1
单词组为:doctoral degrees	频数是：1
单词组为:domestic foreign	频数是：1
单词组为:EMBOJ Nucleic	频数是：1
单词组为:essays other	频数是：1
单词组为:Europe China	频数是：1
单词组为:experience working	频数是：1
单词组为:foreign nearly	频数是：1
单词组为:garland CFLACPC	频数是：1
单词组为:genetics other	频数是：1
单词组为:golden pony	频数是：1
单词组为:Hebei people	频数是：1
单词组为:house Publishing	频数是：1
单词组为:Industry Press	频数是：1
单词组为:journal EMBOJ	频数是：1
单词组为:known literary	频数是：1
单词组为:known publishing	频数是：1
单词组为:Langfang Hebei	频数是：1
单词组为:leading journal	频数是：1
单词组为:literary website	频数是：1
单词组为:literary works	频数是：1
单词组为:living Singapore	频数是：1
单词组为:male born	频数是：1
单词组为:master doctoral	频数是：1
单词组为:Metropolis Daily	频数是：1
单词组为:nearly Poetry	频数是：1
单词组为:nearly years	频数是：1
单词组为:Nucleic Acid	频数是：1
单词组为:only Xuefeng	频数是：1
单词组为:other countries	频数是：1
单词组为:other domestic	频数是：1
单词组为:other literary	频数是：1
单词组为:other well	频数是：1
单词组为:people years	频数是：1
单词组为:Plos genetics	频数是：1
单词组为:poetry essays	频数是：1
单词组为:Poetry Week	频数是：1
单词组为:pony garland	频数是：1
单词组为:Press Europe	频数是：1
单词组为:Press other	频数是：1
单词组为:Press Science	频数是：1
单词组为:professional books	频数是：1
单词组为:published leading	频数是：1
单词组为:published poetry	频数是：1
单词组为:publishing house	频数是：1
单词组为:Publishing professional	频数是：1
单词组为:Repair Plos	频数是：1
单词组为:Research Repair	频数是：1
单词组为:Science Press	频数是：1
单词组为:Singapore Australia	频数是：1
单词组为:Singapore worked	频数是：1
单词组为:some well	频数是：1
单词组为:website published	频数是：1
单词组为:Week golden	频数是：1
单词组为:when most	频数是：1
单词组为:with nearly	频数是：1
单词组为:worked Chemical	频数是：1
单词组为:working living	频数是：1
单词组为:works dozens	频数是：1
单词组为:Xuefeng male	频数是：1
单词组为:Yanzhao Metropolis	频数是：1
单词组为:years bachelor	频数是：1
单词组为:years experience	频数是：1
---------基本输出--------------
字符数：980
单词数：101
行数：23
单词 :Singapore	 频数是 : 8
单词 :most	 频数是 : 4
单词 :favorite	 频数是 : 4
单词 :just	 频数是 : 4
单词 :only	 频数是 : 4
单词 :years	 频数是 : 4
单词 :other	 频数是 : 4
单词 :Press	 频数是 : 3
单词 :nearly	 频数是 : 2
单词 :well	 频数是 : 2
